id,K_D_gmax,KV3_1_gmax,KV2_FAST_gmax,KV1_4_gmax,KV4_2_gmax,K_M_gmax,SK_gmax,NA_T_AX_gmax,NA_T_SD_gmax,NA_P_gmax,CA_LVA_gmax,CA_HVA_gmax,IH_gmax,n_spikes,spike_freq,isi_skewness,cma_n_bursts,cma_burst
36,0.086997,0.598483,0.027652,0.136145,0.370395,0.0105256,0.00039969,28.7796,1.73777,0.313082,0.00821141,0.106397,0,126,25.2,0.803389,0,0
37,0.0455621,0.129082,0.00685147,0,0.0201719,0.0291402,0.0168333,49.6206,4.63719,0.453512,0.00111769,0.011496,0,541,108.2,1.17423,0,0
38,0.85312,1.82424,0.00575839,0.218746,0.00209382,0,0,20.4752,1.83679,0.196624,0.180702,0.301257,0.00240165,819,163.8,0.37368,2,1
39,0.0115675,0.306382,0,0.150088,0.0742542,0.00180976,0,48.1814,3.80813,2.26006,0.0179466,0.0569297,0.0624098,156,31.2,-4.2484,0,0
40,0.0206213,1.16057,0,0,0.00547817,0.0128558,0.0276798,35.8158,0.39634,0.546548,0.0105754,0.00184856,0.019072,270,54,0.554398,0,0
41,0.271255,0.349868,0,0.00105027,0.00153909,0.370237,0.000227956,24.7064,1.28137,1.05728,0.0171748,0,0.0427704,830,166,2.24132,0,0
42,0.0595325,0.561156,0.00225359,0.640761,0,0,0.00262188,46.2141,1.79823,2.14497,0.00135134,0,0.0574206,746,149.2,0.016702,0,0
43,0.156656,0.195576,0.0762972,0.00141934,0.0370977,0.0337771,0.0302719,31.0646,2.72449,0.585511,0.00984522,0.106003,0.0656265,159,31.8,1.4566,0,0
44,0.551022,1.67255,0.00541913,0,0.0190327,0,0,15.3132,1.00935,0.59335,0.96703,0,0.00134088,1216,243.2,0.63312,0,0
45,0.492035,2.17009,0.00291925,0,0.0533069,0.00973332,0.00835222,20.4689,1.24325,0.800081,0.0737646,0.0145309,0.0638969,422,84.4,0.179985,0,0
46,0.14392,2.51433,0.0419011,0.0131299,0,0.0151473,0.0841774,41.8268,3.52933,0.848991,0.0923138,0,0.0314104,215,43,0.104386,0,0
47,0.0452666,0.407714,0.0161481,0,0.0165205,0.00619912,0.000196131,40.496,1.31003,1.07082,0.0488114,0,0.00217573,423,84.6,0.590031,0,0
48,0.0370702,0.0364323,0.129774,0.00453899,0.00531764,0.00539133,0.034385,17.8954,0.717476,0.823472,0.00397407,0,0,115,23,-0.70561,0,0
49,0.248456,0.0356467,0.00788589,0.00461319,0.0858776,0,0,48.7537,3.01651,0.653682,0.0932411,0,0,456,91.2,0.346423,0,0
50,0.0606513,0.430803,0,0.0175962,0,0.17358,0,14.2152,1.2718,0.398007,0.954859,0,0,168,33.6,-5.64292,0,0
51,0.0313087,2.48916,0,0.910154,0.0593871,0.00124018,0.000523792,47.2197,4.16621,2.00192,0.529786,0.00255368,0.0074274,690,138,2.09243,0,0
52,0.0223416,3.03968,0.00104321,0.0273152,0,0,0.0914376,18.2922,0.734389,0.81686,0.38276,0.00416992,0,170,34,-0.0225535,0,0
53,0.371749,1.50199,0.0031503,0.0125771,0.0422568,0.153965,0.00112804,32.6247,3.19189,0.546692,0.0158537,0.506006,0,698,139.6,0.398729,0,0
54,0.217405,0.0400896,0.0175908,0.246651,0.0123332,0,0,30.1243,2.03458,1.27473,0.0138055,0.00813347,0.0440394,296,59.2,-0.442329,0,0
55,0.0140736,0.0566237,0,0.789389,0.327348,0.0705636,0.00174126,33.8176,1.10622,0.528841,0.011767,0.0789617,0,134,26.8,0.222471,0,0
56,0.521196,0.499934,0.00205562,0.060013,0.0391099,0.138363,0.0306392,47.1568,1.36151,0.70557,0.0110525,0.394047,0.00188254,109,21.8,3.347,2,1
57,0.35276,0.0121092,0.00726387,0,0,0.397211,0.0135061,46.2461,0.678449,0.89292,0.0272139,0.0853374,0.00281887,19,3.8,-1.98392,0,0
58,0.229918,0.16603,0.049365,0,0,0.00882227,0.0143093,19.3071,1.08042,0.496937,0.00453594,0,0.0296219,234,46.8,0.258833,0,0
59,0.590831,1.67279,0.00396787,0.108089,0.00643564,0.144979,0.000914529,45.763,2.6211,2.05304,0.234675,0.0743308,0.000119145,753,150.6,-0.406845,0,0
60,0.600807,1.00066,0.00539876,0,0,0.08042,0,19.4613,1.02461,0.485093,0.00447591,0.0434946,0.000360864,646,129.2,0.4146,0,0
61,0.257576,0.151793,0.00155616,0.0307129,0.0607567,0.153013,0.000902865,20.3603,1.52521,0.446296,0.558459,0.0171811,0.0969398,354,70.8,0.85031,0,0
62,0.691955,0.0460492,0,0.0232843,0,0,0.00108816,48.1136,3.41538,1.80547,0.0461836,0.369568,0.000494208,271,54.2,0.159061,0,0
63,0.0159089,0.329524,0.00200745,0.00192808,0.0372819,0.0291305,0.0252378,15.6171,1.06714,0.606852,0.735426,0.020074,0.000448373,217,43.4,0.136167,0,0
64,0.0701814,0.0688121,0.010013,0,0.0251342,0.12726,0.000655587,11.7272,0.807776,0.385956,0.00628444,0.0191097,0.0442187,406,81.2,0.236769,0,0
65,0.12593,0.0137944,0.00398446,0,0.00404824,0.278144,0,22.3939,0.336046,1.04613,0.00104976,0.0933958,0,736,147.2,0.407751,0,0
66,0.265075,0.112083,0.00431706,0.00289941,0,0.0722683,0,29.0817,0.609121,0.326951,0.00707667,0.0589832,0.00417086,551,110.2,0.444352,0,0
67,0.0356762,0.688246,0.137496,0.00358656,0.0209233,0.0952323,0.00223565,32.3535,2.11286,0.575183,0.00333643,0,0.000723373,154,30.8,0.0772888,0,0
68,0.0545182,2.26252,0.0318669,0.325036,0.0307778,0.00634565,0.000287579,38.8938,3.66547,1.02617,0.0287468,0.0625168,0,350,70,-0.00923125,0,0
69,0.0142347,0.948389,0.0253822,0,0,0.119204,0,37.646,2.81859,1.54246,0.0228469,0.00910618,0,289,57.8,-0.207311,0,0
70,0.0393539,0.0139684,0.0112005,0.229745,0,0.297272,0.0310855,41.3423,4.02119,1.1464,0.103608,0,0.00577428,92,18.4,2.97933,0,0
71,0.339623,2.90029,0.0144513,0.0173439,0.0581342,0,0,49.2347,2.99314,1.5548,0.0020936,0.0532281,0.000632563,224,44.8,0.732495,0,0
72,0.100439,2.59393,0,0.00192392,0.0104957,0.0309078,0.000410686,17.6026,1.59522,0.0143503,0.00657951,0,0.0587479,93,18.6,0.430525,0,0
73,0.0598648,2.02842,0.0915783,0.316858,0,0.104764,0,46.162,1.50628,1.94395,0.00895371,0.0753286,0,178,35.6,-1.09921,0,0
74,0.0447867,5.73343,0.00386908,0,0,0.0129375,0,22.7681,1.67885,0.707111,0.130326,0.0155703,0.0513736,828,165.6,1.60631,0,0
75,0.370005,0.132849,0.00983706,0,0.00653392,0.147745,0,25.0014,0.364524,0.995077,0.0704032,0.0263927,0,414,82.8,0.386943,1,1
76,0.259607,2.24359,0.0105599,0.0169152,0.0118084,0,0.000187439,40.6235,2.25103,1.55568,0.0674153,0.0104886,0.00082498,497,99.4,0.156891,0,0
77,0.036145,0.290726,0.0498357,0,0.0415243,0.112075,0,36.5466,2.86669,1.05159,0.815897,0.0510126,0.000153228,196,39.2,-0.622238,0,0
78,0.437924,2.38961,0,0.208289,0.0294916,0.0305839,0,27.0009,1.58701,0.81992,0.32562,0.00740037,0,391,78.2,2.8364,0,0
79,0.0531612,0.0722142,0.00138087,0.0182643,0,0,0.000631785,45.2989,1.09558,0.183432,0.0350665,0.0160755,0.00970344,636,127.2,0.38561,0,0
80,0.0172737,1.3922,0.0630592,0.723425,0,0.00974625,0.000710837,28.2682,2.37633,0.9672,0.0037709,0.00203533,0,193,38.6,-0.186283,0,0
81,0.290653,1.774,0,0.404032,0.064306,0,0,49.2578,1.2719,1.53768,0.0139006,0.0204409,0.0063606,168,33.6,-0.721772,0,0
82,0.0107117,0.0108729,0.00751797,0.184071,0.0125243,0.395825,0.00998286,40.9898,0.981798,1.37312,0.453264,0.146477,0,147,29.4,3.65573,0,0
83,0.0113024,2.20958,0.0395183,0,0,0.00219838,0.042294,26.0315,1.89329,0.410778,0.636572,0.394486,0.00210407,63,12.6,3.04136,6,1
84,0.0108356,0.903809,0,0.50467,0.020991,0,0.000261314,11.1451,0.896681,0.181574,0.00342484,0.00902661,0.0585842,610,122,0.286171,0,0
85,0.205076,1.70844,0.00215795,0,0,0,0.0141055,45.7971,3.89438,0.555171,0.00485368,0.00532068,0.00193323,618,123.6,0.888757,0,0
86,0.263911,0.0433933,0,0,0.0342196,0.0946507,0,27.2085,1.73828,1.03746,0.00227779,0.0296419,0,413,82.6,0.299029,0,0
87,0.317198,3.73026,0.00362747,0,0.00230128,0,0.000564765,17.4397,1.46694,0.542487,0.737949,0,0.00382414,1295,259,0.626902,0,0
88,0.179621,0.588605,0.00201355,0.0208881,0.00483287,0,0,19.6842,0.581657,0.310834,0.418859,0.0068805,0.00107953,976,195.2,0.61742,0,0
89,0.0166962,0.0731698,0.0164022,0.0347131,0,0.050457,0.0358475,37.4607,0.700645,0.0801761,0.0377681,0.0269823,0.00281237,420,84,0.718715,0,0
